nm, %T
1600.000000, 87.771265
1595.000000, 87.750042
1590.000000, 87.710127
1585.000000, 87.674081
1580.000000, 87.650602
1575.000000, 87.636137
1570.000000, 87.610275
1565.000000, 87.590299
1560.000000, 87.550583
1555.000000, 87.513898
1550.000000, 87.485481
1545.000000, 87.471086
1540.000000, 87.446416
1535.000000, 87.414416
1530.000000, 87.377711
1525.000000, 87.333305
1520.000000, 87.315201
1515.000000, 87.295699
1510.000000, 87.265541
1505.000000, 87.226113
1500.000000, 87.182865
1495.000000, 87.149695
1490.000000, 87.117463
1485.000000, 87.091677
1480.000000, 87.059866
1475.000000, 87.016052
1470.000000, 86.963581
1465.000000, 86.933159
1460.000000, 86.893479
1455.000000, 86.855405
1450.000000, 86.812498
1445.000000, 86.751083
1440.000000, 86.704287
1435.000000, 86.658145
1430.000000, 86.608212
1425.000000, 86.551356
1420.000000, 86.486352
1415.000000, 86.422649
1410.000000, 86.386300
1405.000000, 86.372117
1400.000000, 86.368844
1395.000000, 86.335145
1390.000000, 86.342769
1385.000000, 86.341110
1380.000000, 86.352548
1375.000000, 86.330618
1370.000000, 86.311388
1365.000000, 86.265757
1360.000000, 86.252217
1355.000000, 86.209605
1350.000000, 86.179929
1345.000000, 86.131707
1340.000000, 86.090328
1335.000000, 86.054434
1330.000000, 86.009073
1325.000000, 85.968092
1320.000000, 85.919445
1315.000000, 85.882524
1310.000000, 85.848696
1305.000000, 85.799243
1300.000000, 85.751100
1295.000000, 85.712290
1290.000000, 85.669298
1285.000000, 85.621631
1280.000000, 85.563709
1275.000000, 85.517761
1270.000000, 85.483824
1265.000000, 85.440897
1260.000000, 85.382731
1255.000000, 85.329726
1250.000000, 85.284759
1245.000000, 85.245077
1240.000000, 85.189581
1235.000000, 85.142082
1230.000000, 85.094821
1225.000000, 85.040152
1220.000000, 84.982216
1215.000000, 84.933385
1210.000000, 84.887175
1205.000000, 84.833711
1200.000000, 84.774524
1195.000000, 84.727569
1190.000000, 84.674414
1185.000000, 84.620203
1180.000000, 84.560855
1175.000000, 84.512985
1170.000000, 84.456719
1165.000000, 84.395542
1160.000000, 84.337955
1155.000000, 84.287916
1150.000000, 84.225504
1145.000000, 84.155867
1140.000000, 84.099546
1135.000000, 84.038367
1130.000000, 83.977875
1125.000000, 83.920867
1120.000000, 83.865225
1115.000000, 83.790788
1110.000000, 83.729112
1105.000000, 83.664193
1100.000000, 83.599790
1095.000000, 83.533786
1090.000000, 83.471467
1085.000000, 83.395696
1080.000000, 83.324661
1075.000000, 83.263284
1070.000000, 83.188049
1065.000000, 83.115337
1060.000000, 83.048348
1055.000000, 82.965526
1050.000000, 82.893653
1045.000000, 82.821547
1040.000000, 82.739276
1035.000000, 82.665004
1030.000000, 82.591126
1025.000000, 82.506608
1020.000000, 82.421342
1015.000000, 82.332701
1010.000000, 82.247098
1005.000000, 82.162535
1000.000000, 82.072194
995.000000, 81.983983
990.000000, 81.893480
985.000000, 81.794347
980.000000, 81.701321
975.000000, 81.600973
970.000000, 81.502141
965.000000, 81.402422
960.000000, 81.296046
955.000000, 81.194424
950.000000, 81.084250
945.000000, 80.970074
940.000000, 80.854304
935.000000, 80.733883
930.000000, 80.616346
925.000000, 80.489183
920.000000, 80.357159
915.000000, 80.225167
910.000000, 80.088015
905.000000, 79.941069
900.000000, 79.789349
895.000000, 79.639306
890.000000, 79.481543
885.000000, 79.313728
880.000000, 79.136400
875.000000, 78.936884
870.000000, 78.732880
865.000000, 78.516037
860.000000, 78.208190
855.000000, 77.943091
850.000000, 77.777444
845.000000, 77.459535
840.000000, 77.000176
835.000000, 76.582454
830.000000, 76.118778
825.000000, 75.600899
820.000000, 74.969601
815.000000, 74.193779
810.000000, 73.219828
805.000000, 72.069928
800.000000, 70.657505
795.000000, 68.879792
790.000000, 66.751340
785.000000, 64.201453
780.000000, 61.220546
775.000000, 57.821215
770.000000, 54.159235
765.000000, 50.296291
760.000000, 46.386879
755.000000, 42.525068
750.000000, 38.912230
745.000000, 35.666808
740.000000, 32.856109
735.000000, 30.521357
730.000000, 28.740977
725.000000, 27.469410
720.000000, 26.685492
715.000000, 26.355728
710.000000, 26.461710
705.000000, 26.995669
700.000000, 27.831027
695.000000, 28.840092
690.000000, 29.937130
685.000000, 30.901654
680.000000, 31.514491
675.000000, 31.654796
670.000000, 31.170784
665.000000, 30.048965
660.000000, 28.414224
655.000000, 26.411268
650.000000, 24.332107
645.000000, 22.500157
640.000000, 21.129478
635.000000, 20.338156
630.000000, 20.082948
625.000000, 20.313666
620.000000, 20.926839
615.000000, 21.787379
610.000000, 22.748068
605.000000, 23.651718
600.000000, 24.382788
595.000000, 24.934342
590.000000, 25.393547
585.000000, 25.889282
580.000000, 26.563048
575.000000, 27.506023
